Account_number,PORTFOLIO,SSN,Phone No. ,City,State,Account Open Date,Loan_amount,Origination_fico_score,Current_fico_score,Current_outstanding
38673616,MORTGAGE,020-94-0490,210-593-4277,Terlingua,TX,2019-02-16,413180,668,710,4131.8
38673617,CREDIT CARD,175-86-6459,215-824-8406,Winfield,PA,2021-06-06,81965,784,816,9835.8
38673618,CREDIT CARD,527-99-4285,212-754-9908,Albany,NY,2019-08-27,69827,721,742,25835.989999999998
38673619,MORTGAGE,034-92-6655,479-794-8674,Tyronza,AR,2021-06-04,895856,886,877,17917.12
38673620,PERSONAL LOAN,119-98-0410,240-440-8553,Dames Quarter,MD,2020-06-05,148350,668,677,43021.5
38673621,CREDIT CARD,258-99-1021,423-622-3756,Nashville,TN,2020-11-16,44898,888,930,13918.38
38673622,PERSONAL LOAN,174-86-2888,201-274-7758,Vineland,NJ,2019-09-03,54746,728,732,15876.339999999998
38673623,MORTGAGE,199-84-2022,229-424-4711,Duluth,GA,2021-07-28,231795,830,862,48676.95
38673624,CREDIT CARD,643-29-0168,480-820-3346,Tucson,AZ,2018-10-04,97299,883,912,24324.75
38673625,CREDIT CARD,752-09-1941,304-275-3381,Carolina,WV,2019-10-05,37348,792,828,3361.3199999999997
38673626,PERSONAL LOAN,219-89-9027,218-432-4424,Coleraine,MN,2018-04-01,134397,831,868,67198.5
38673627,MORTGAGE,482-41-8027,339-967-7386,Hyannis Port,MA,2018-07-04,459643,754,750,64350.020000000004
38673628,MORTGAGE,654-38-0981,205-502-8380,Dixons Mills,AL,2019-01-05,935749,890,931,290082.19
38673629,CREDIT CARD,691-18-0161,480-856-5132,Phoenix,AZ,2018-06-04,69969,822,871,4198.139999999999
38673630,MORTGAGE,136-25-1184,304-710-5884,Orlando,WV,2019-03-24,448773,816,845,125656.44000000002
38673631,CREDIT CARD,680-31-1003,212-210-0803,Watertown,NY,2018-08-21,62580,755,752,8135.400000000001
38673632,PERSONAL LOAN,605-87-9844,216-878-5884,Cincinnati,OH,2021-08-16,48950,757,767,19580.0
38673633,CREDIT CARD,443-27-8655,262-964-9362,Galloway,WI,2018-07-17,57883,883,884,18522.56
38673634,MORTGAGE,408-99-6121,907-513-0613,Fairbanks,AK,2021-08-24,555778,773,768,205637.86
38673635,MORTGAGE,661-22-1814,207-464-1560,Camden,ME,2018-02-22,779239,724,759,54546.73
38673636,PERSONAL LOAN,078-02-4538,215-965-0584,Orbisonia,PA,2018-08-10,172175,894,924,22382.75
38673637,MORTGAGE,761-12-7429,702-722-8923,Carson City,NV,2020-05-02,690331,673,673,103549.65
38673638,MORTGAGE,277-17-3883,209-270-9588,Nubieber,CA,2020-05-02,690273,699,698,248498.28
38673639,MORTGAGE,365-39-0856,231-565-8761,Oscoda,MI,2019-05-28,556275,828,825,211384.5
38673640,CREDIT CARD,046-15-8620,225-206-9704,Bethany,LA,2021-08-22,90301,781,782,43344.479999999996
38673641,MORTGAGE,535-71-8517,225-581-9165,Grand Chenier,LA,2018-03-12,290129,773,798,14506.45
38673642,MORTGAGE,766-04-2794,319-537-6286,Fontanelle,IA,2019-12-14,856201,815,860,171240.2
38673643,CREDIT CARD,564-99-3056,216-775-4008,Dayton,OH,2018-12-27,62886,872,910,8804.04
38673644,CREDIT CARD,599-92-6432,316-569-2974,Fowler,KS,2020-12-15,50766,676,681,3553.6200000000003
38673645,CREDIT CARD,699-16-0989,212-314-7941,Marion,NY,2021-05-07,51017,652,689,9693.23
38673646,CREDIT CARD,079-02-4460,239-694-6684,Summerfield,FL,2020-10-20,51126,749,743,18916.62
38673647,CREDIT CARD,575-99-2871,212-479-1401,Bradford,NY,2018-12-28,73242,760,783,35156.159999999996
38673648,PERSONAL LOAN,222-11-8097,303-946-2618,Ohio City,CO,2020-06-25,148092,738,778,17771.04
38673649,CREDIT CARD,325-11-5942,270-718-5602,Oven Fork,KY,2019-05-06,86559,778,814,38085.96
38673650,CREDIT CARD,539-71-8770,239-845-9257,O Brien,FL,2019-02-24,77903,748,793,7790.3
38673651,MORTGAGE,563-99-9290,209-290-7541,San Jose,CA,2018-11-11,706700,885,875,35335.0
38673652,PERSONAL LOAN,286-15-4517,215-554-3365,Bridgeport,PA,2020-09-19,189042,889,939,86959.32
38673653,MORTGAGE,454-99-1506,240-520-4999,Hyattsville,MD,2018-08-10,963989,800,821,298836.59
38673654,MORTGAGE,146-23-8893,218-822-4983,Bingham Lake,MN,2018-10-15,534799,764,789,213919.6
38673655,MORTGAGE,752-09-0836,217-844-1533,Smithshire,IL,2018-10-06,688809,851,888,82657.08
38673656,MORTGAGE,527-99-2378,808-337-2439,Kekaha,HI,2018-08-17,189060,827,858,83186.4
38673657,PERSONAL LOAN,297-15-7841,803-766-1484,Pelion,SC,2019-02-16,197815,797,792,49453.75
38673658,MORTGAGE,191-86-6279,319-478-7338,Titonka,IA,2021-03-02,114143,851,844,36525.76
38673659,PERSONAL LOAN,648-58-0558,215-601-4974,Campbelltown,PA,2020-09-26,140393,846,887,44925.76
38673660,CREDIT CARD,583-99-9143,225-562-9568,Gloster,LA,2020-05-10,76398,715,738,9931.74
38673661,MORTGAGE,281-15-2142,210-431-2908,Carrollton,TX,2019-10-24,383713,863,906,161159.46
38673662,MORTGAGE,713-18-5659,210-595-2299,Old Ocean,TX,2019-07-02,953139,802,817,38125.56
38673663,CREDIT CARD,656-36-1040,316-849-1970,Freeport,KS,2019-06-19,36006,828,869,12602.099999999999
38673664,MORTGAGE,717-18-8062,304-221-6979,Charleston,WV,2018-11-10,551473,871,882,16544.19
38673665,PERSONAL LOAN,523-99-3631,206-414-9623,Humptulips,WA,2018-05-04,151050,751,754,9063.0
38673666,MORTGAGE,503-45-0046,229-476-8341,Reidsville,GA,2018-04-24,209016,861,880,16721.28
38673667,MORTGAGE,439-99-9395,225-398-9118,Geismar,LA,2020-03-28,281141,818,824,5622.82
38673668,PERSONAL LOAN,317-35-3162,319-233-9397,Bayard,IA,2021-06-17,79369,700,727,7936.900000000001
38673669,MORTGAGE,084-02-8563,231-239-4482,Grand Rapids,MI,2018-04-20,441819,694,690,185563.97999999998
38673670,CREDIT CARD,119-98-5733,215-753-6443,Conshohocken,PA,2018-04-12,70450,864,890,11272.0
38673671,CREDIT CARD,510-33-2272,209-685-5524,Klamath,CA,2020-12-12,62200,755,751,18660.0
38673672,CREDIT CARD,168-86-4252,303-439-4051,Westminster,CO,2020-11-14,90548,828,861,9054.800000000001
38673673,CREDIT CARD,730-28-5224,302-854-2835,Yorklyn,DE,2019-10-05,52977,811,843,25428.96
38673674,PERSONAL LOAN,381-37-7296,210-580-0080,San Antonio,TX,2019-03-09,78303,723,733,33670.29
38673675,CREDIT CARD,691-18-0845,239-272-2787,Melbourne,FL,2019-07-19,32077,862,911,3207.7000000000003
38673676,MORTGAGE,180-86-1925,316-607-0666,Woodston,KS,2019-06-14,153025,893,887,41316.75
38673677,CREDIT CARD,141-23-8932,201-633-2534,Trenton,NJ,2018-03-21,83565,715,710,36768.6
38673678,MORTGAGE,108-98-2592,208-538-5228,Pollock,ID,2019-11-28,629157,751,783,132122.97
38673679,CREDIT CARD,111-98-5822,201-944-5009,Vineland,NJ,2020-05-08,47024,841,888,7994.080000000001
38673680,MORTGAGE,145-23-2551,702-530-1468,Las Vegas,NV,2021-03-17,371595,689,724,118910.40000000001
38673681,PERSONAL LOAN,241-99-7036,319-375-3929,Ankeny,IA,2018-05-12,136591,886,921,61465.950000000004
38673682,MORTGAGE,626-85-7758,240-230-0365,Earleville,MD,2020-06-25,322304,760,807,112806.4
38673683,MORTGAGE,257-99-2443,217-213-8791,Wheaton,IL,2021-08-24,544072,864,904,21762.88
38673684,CREDIT CARD,500-29-3283,270-825-1184,Summersville,KY,2018-05-08,69239,731,743,6923.900000000001
38673685,MORTGAGE,354-08-3914,212-905-9874,Brewerton,NY,2021-08-24,112320,790,829,25833.600000000002
38673686,MORTGAGE,528-99-2213,907-989-6466,Wainwright,AK,2020-06-04,212247,877,913,23347.170000000002
38673687,CREDIT CARD,395-33-5478,316-215-3237,Olmitz,KS,2018-07-13,99727,804,821,11967.24
38673688,PERSONAL LOAN,041-15-7057,218-936-7040,Fifty Lakes,MN,2020-10-12,112074,877,909,3362.22
38673689,PERSONAL LOAN,274-17-5979,314-470-5719,Saint Peters,MO,2018-01-13,184368,822,825,16593.12
38673690,MORTGAGE,147-23-3658,217-868-7010,Forest City,IL,2021-02-25,514081,705,703,107957.01
38673691,MORTGAGE,640-29-4230,252-399-8698,Dobson,NC,2019-03-13,158986,898,947,76313.28
38673692,CREDIT CARD,474-55-7589,215-487-2693,Howard,PA,2021-03-11,64708,799,845,23941.96
38673693,CREDIT CARD,237-99-6672,201-593-7619,Wharton,NJ,2019-05-21,51704,689,737,15511.199999999999
38673694,PERSONAL LOAN,097-02-3073,385-579-4998,Pleasant Grove,UT,2018-04-02,174370,721,712,5231.099999999999
38673695,MORTGAGE,412-99-7530,702-930-0580,Las Vegas,NV,2021-01-27,208326,784,821,87496.92
38673696,CREDIT CARD,360-08-4375,304-985-2624,Morgantown,WV,2018-04-23,63703,785,820,14651.69
38673697,PERSONAL LOAN,175-86-1469,252-410-2682,Rockwell,NC,2019-07-27,143994,725,720,43198.2
38673698,CREDIT CARD,485-41-9721,803-478-8876,Aiken,SC,2020-03-23,60197,687,732,4815.76
38673699,MORTGAGE,711-18-8744,316-690-1685,Liberty,KS,2020-01-16,641031,878,918,147437.13
38673700,CREDIT CARD,415-99-7694,215-612-2219,Harrisburg,PA,2020-12-01,47120,831,829,17905.6
38673701,PERSONAL LOAN,456-99-2872,215-536-3004,Johnsonburg,PA,2018-12-25,154605,863,879,69572.25
38673702,CREDIT CARD,183-86-6147,308-675-1267,Weeping Water,NE,2018-07-16,83408,888,903,40869.92
38673703,CREDIT CARD,346-08-0768,231-671-4710,Prattville,MI,2020-01-14,86433,763,787,12100.62
38673704,CREDIT CARD,481-41-3606,802-639-9797,Bethel,VT,2020-11-20,69575,894,921,7653.25
38673705,CREDIT CARD,401-73-5418,215-526-2531,Glenmoore,PA,2018-11-25,92667,708,757,37993.47
38673706,CREDIT CARD,564-99-3176,209-706-1739,Port Hueneme,CA,2018-05-11,88450,681,726,13267.5
38673707,CREDIT CARD,454-99-1027,216-589-4850,Reesville,OH,2020-05-28,75842,663,685,16685.24
38673708,MORTGAGE,278-17-8949,239-663-6180,Windermere,FL,2021-01-07,578809,752,791,237311.68999999997
38673709,CREDIT CARD,522-99-0675,215-957-7708,Mount Morris,PA,2020-09-22,86912,755,756,12167.68
38673710,CREDIT CARD,256-99-4913,339-630-2363,Sheldonville,MA,2018-03-03,27850,813,809,2785.0
38673711,CREDIT CARD,771-02-6478,209-285-9800,Anaheim,CA,2018-01-27,57136,739,770,10855.84
38673712,MORTGAGE,168-86-6349,210-508-4687,Nocona,TX,2020-12-18,262146,777,788,83886.72
38673713,PERSONAL LOAN,284-15-2241,339-933-7480,Middleboro,MA,2020-05-20,78662,750,761,24385.22
38673714,CREDIT CARD,412-99-3747,252-232-7709,State Road,NC,2020-04-02,88865,701,701,18661.649999999998
38673715,MORTGAGE,250-99-8613,319-624-9756,Elkader,IA,2019-02-09,454042,800,833,36323.36
38673716,MORTGAGE,391-33-9207,803-620-1140,Camden,SC,2021-08-24,690176,674,695,310579.2
38673717,MORTGAGE,343-11-0747,212-883-3294,New York City,NY,2020-08-02,723176,839,889,72317.6
38673718,PERSONAL LOAN,177-86-5347,229-822-4848,Fairmount,GA,2019-11-28,115401,730,753,56546.49
38673719,PERSONAL LOAN,307-37-8452,215-498-7413,Philadelphia,PA,2021-07-22,150745,897,914,45223.5
38673720,CREDIT CARD,313-35-6708,207-371-3858,Portland,ME,2020-03-24,87515,894,890,40256.9
38673721,MORTGAGE,296-15-8853,210-860-9092,Asherton,TX,2019-08-18,840261,668,697,50415.659999999996
38673722,CREDIT CARD,460-99-3663,505-234-3350,Gallup,NM,2019-07-02,88640,728,763,11523.2
38673723,CREDIT CARD,088-02-1546,808-922-7965,Hana,HI,2021-08-24,95641,686,689,28692.3
38673724,CREDIT CARD,695-16-8818,219-259-3661,Paragon,IN,2020-03-22,71409,697,703,4998.63
38673725,CREDIT CARD,188-86-6252,212-943-1323,Holtsville,NY,2019-05-20,32887,738,782,9537.23
38673726,CREDIT CARD,168-86-5926,212-729-5285,Indian Lake,NY,2021-03-27,83522,792,822,30903.14
38673727,PERSONAL LOAN,326-11-2977,803-439-9109,Campobello,SC,2018-07-01,172266,739,740,1722.66
38673728,MORTGAGE,665-22-1285,229-206-3870,Lawrenceville,GA,2020-10-18,490480,695,704,201096.8
38673729,MORTGAGE,521-99-4667,217-235-8929,Medinah,IL,2019-12-12,455140,745,781,186607.4
38673730,CREDIT CARD,750-20-7649,252-890-5223,Stanfield,NC,2020-02-26,65578,795,804,19673.399999999998
38673731,CREDIT CARD,337-11-2362,405-513-1041,Arkoma,OK,2019-06-21,28738,675,709,12644.72
38673732,CREDIT CARD,002-11-0635,216-560-0306,Cleveland,OH,2019-07-21,57540,682,693,27043.8
38673733,MORTGAGE,724-28-2854,209-464-3358,Sacramento,CA,2018-08-09,682102,738,760,40926.119999999995
38673734,PERSONAL LOAN,081-02-7626,209-829-0236,Citrus Heights,CA,2020-03-24,124411,732,758,31102.75
38673735,PERSONAL LOAN,240-99-8843,803-836-6453,Scotia,SC,2019-12-02,39175,890,919,17628.75
38673736,MORTGAGE,615-87-9179,212-592-1288,Buffalo,NY,2021-08-24,136883,846,849,43802.56
38673737,CREDIT CARD,674-48-1598,216-585-8554,Attica,OH,2019-02-22,48541,894,896,8251.970000000001
38673738,PERSONAL LOAN,155-23-2932,503-979-9891,Grand Ronde,OR,2018-04-13,113962,821,867,28490.5
38673739,PERSONAL LOAN,241-99-6100,206-924-0544,Wenatchee,WA,2020-11-08,181139,879,907,36227.8
38673740,CREDIT CARD,529-99-0009,479-200-7636,Mount Pleasant,AR,2019-08-17,28164,825,820,1126.56
38673741,CREDIT CARD,705-18-8716,209-876-0963,Irvine,CA,2019-04-20,55948,735,753,8951.68
38673742,MORTGAGE,153-23-3924,423-400-6263,Knoxville,TN,2019-03-08,190709,671,709,40048.89
38673743,CREDIT CARD,606-87-7340,236-718-1007,Low Moor,VA,2019-07-26,29887,840,858,0.0
38673744,PERSONAL LOAN,671-48-1994,207-906-2672,Biddeford,ME,2020-11-18,101819,803,853,49891.31
38673745,PERSONAL LOAN,084-02-4058,239-839-9528,Nocatee,FL,2019-05-02,190889,867,868,45813.36
38673746,CREDIT CARD,276-17-9238,231-878-3919,Grand Marais,MI,2020-08-07,30814,658,708,10476.76
38673747,CREDIT CARD,166-86-0302,217-484-8037,Decatur,IL,2018-07-06,87127,789,816,1742.54
38673748,CREDIT CARD,332-11-4790,209-558-2215,Los Angeles,CA,2019-05-10,85006,687,700,26351.86
38673749,CREDIT CARD,039-74-4503,206-505-5698,Seattle,WA,2018-09-16,88016,706,706,8801.6
38673750,PERSONAL LOAN,233-57-0796,209-822-9929,Strathmore,CA,2018-04-21,109077,741,770,15270.78
38673751,MORTGAGE,095-02-2256,212-212-4332,Alfred,NY,2019-07-11,583260,788,831,145815.0
38673752,CREDIT CARD,212-91-3830,262-827-4586,Collins,WI,2021-08-24,32049,794,817,13460.58
38673753,MORTGAGE,753-07-8963,239-325-3416,Evinston,FL,2020-09-17,813783,780,826,219721.41
38673754,CREDIT CARD,765-27-8795,216-866-3866,Kirby,OH,2018-12-21,67985,719,734,4758.950000000001
38673755,PERSONAL LOAN,114-98-5003,210-620-5084,Glen Rose,TX,2021-01-19,112586,774,796,13510.32
38673756,PERSONAL LOAN,118-98-5331,216-806-1435,New Holland,OH,2018-09-13,109670,689,732,50448.200000000004
38673757,CREDIT CARD,513-31-3380,307-891-1115,Natrona,WY,2018-01-03,27132,900,940,11938.08
38673758,PERSONAL LOAN,549-99-6719,217-777-0077,Lafox,IL,2018-06-10,98874,710,702,21752.28
38673759,CREDIT CARD,022-92-9878,316-579-2321,Thayer,KS,2020-03-19,55238,663,712,1104.76
38673760,PERSONAL LOAN,506-57-1290,270-435-4318,Buskirk,KY,2018-02-06,91639,834,867,36655.6
38673761,PERSONAL LOAN,442-29-5727,270-717-2664,Albany,KY,2020-11-22,173205,795,804,51961.5
38673762,PERSONAL LOAN,116-98-6329,229-362-4241,Siloam,GA,2018-03-15,38096,841,870,12190.72
38673763,CREDIT CARD,448-27-2746,262-632-8867,Rockfield,WI,2019-08-02,56545,807,798,23183.449999999997
38673764,PERSONAL LOAN,206-84-4484,405-593-4460,Slick,OK,2018-02-20,166305,843,883,78163.34999999999
38673765,CREDIT CARD,515-31-1010,215-428-4686,Port Allegany,PA,2021-06-20,97930,852,849,19586.0
38673766,MORTGAGE,198-84-2670,215-464-9120,Pen Argyl,PA,2018-04-24,442800,734,760,48708.0
38673767,CREDIT CARD,577-53-8999,231-635-5905,Sterling Heights,MI,2019-09-26,90508,701,695,24437.16
38673768,MORTGAGE,182-86-3474,252-262-6900,Newell,NC,2021-01-09,965363,728,772,212379.86000000002
38673769,PERSONAL LOAN,426-99-6263,219-261-5343,Evansville,IN,2021-08-24,105065,842,838,46228.6
38673770,CREDIT CARD,300-15-9065,479-377-6005,Cabot,AR,2021-03-01,96731,857,849,31921.230000000003
38673771,MORTGAGE,412-99-8567,215-440-7848,North Bend,PA,2020-04-12,743210,819,844,81753.1
38673772,CREDIT CARD,545-99-7600,406-350-9177,Bozeman,MT,2020-06-05,74908,664,691,23221.48
38673773,CREDIT CARD,317-35-5556,202-883-5300,Washington,DC,2018-09-13,26941,663,661,538.82
38673774,MORTGAGE,172-86-2124,303-723-8684,Eckley,CO,2021-06-27,512711,732,780,199957.29
38673775,MORTGAGE,046-15-0907,228-625-1611,Sarah,MS,2019-04-16,556431,758,767,5564.31
38673776,PERSONAL LOAN,508-57-1984,225-291-1331,Oak Grove,LA,2018-02-08,143032,752,798,41479.28
38673777,MORTGAGE,026-92-4986,304-681-7721,Handley,WV,2019-04-14,124834,722,712,12483.400000000001
38673778,MORTGAGE,591-99-6732,231-548-3447,Boon,MI,2018-05-13,127351,734,758,8914.570000000002
38673779,MORTGAGE,384-37-0007,229-791-6607,Columbus,GA,2019-04-28,825201,844,862,156788.19
38673780,MORTGAGE,703-18-2530,210-442-5899,Scotland,TX,2020-03-21,234145,757,801,100682.34999999999
38673781,MORTGAGE,582-99-7683,480-772-8271,Tucson,AZ,2020-03-19,202563,740,776,28358.820000000003
38673782,MORTGAGE,314-35-1059,201-722-9081,Elizabeth,NJ,2019-05-13,303409,784,823,63715.89
38673783,MORTGAGE,132-98-9388,803-866-4751,Clarks Hill,SC,2019-10-17,371073,814,811,70503.87
38673784,MORTGAGE,111-98-0923,236-587-7921,Woodberry Forest,VA,2021-07-25,778308,710,753,77830.8
38673785,PERSONAL LOAN,457-99-8809,605-693-5113,Jefferson,SD,2020-06-12,48530,770,806,21838.5
38673786,CREDIT CARD,647-21-1555,207-741-6877,Gardiner,ME,2018-06-01,52487,700,722,13646.62
38673787,CREDIT CARD,342-11-7104,209-900-0456,Dinuba,CA,2019-10-16,33735,778,780,6409.65
38673788,MORTGAGE,629-31-9626,314-535-4937,Cabool,MO,2021-06-26,934140,835,842,65389.8
38673789,CREDIT CARD,069-02-0557,212-210-8910,Hall,NY,2018-05-19,48636,757,805,17022.6
38673790,CREDIT CARD,109-98-7951,236-225-0623,Pulaski,VA,2020-07-09,44233,772,762,3096.3100000000004
38673791,CREDIT CARD,628-31-0736,212-672-0637,Claverack,NY,2019-09-25,72248,897,903,26009.28
38673792,PERSONAL LOAN,256-99-6890,212-717-6985,Warsaw,NY,2021-08-24,98242,794,827,23578.079999999998
38673793,CREDIT CARD,299-15-7148,216-312-2828,Youngstown,OH,2021-08-19,33570,842,838,4028.3999999999996
38673794,MORTGAGE,511-33-8260,316-720-6608,Montezuma,KS,2021-07-20,353951,659,704,81408.73000000001
38673795,CREDIT CARD,674-48-2398,209-483-4708,Arcadia,CA,2019-02-27,92975,756,767,42768.5
38673796,MORTGAGE,645-29-1741,308-594-6605,Adams,NE,2018-09-10,240153,651,684,4803.06
38673797,MORTGAGE,199-84-9838,210-413-2531,Matador,TX,2019-10-25,709145,802,808,248200.74999999997
38673798,MORTGAGE,158-23-3777,405-798-3622,Sulphur,OK,2018-08-17,767973,762,767,0.0
38673799,PERSONAL LOAN,220-89-3736,308-359-4582,North Platte,NE,2019-09-28,109445,897,900,41589.1
38673800,MORTGAGE,322-11-8988,385-746-8835,Tridell,UT,2019-10-07,443196,741,777,79775.28
38673801,MORTGAGE,027-92-1916,225-954-6181,Lottie,LA,2020-08-19,827854,810,851,322863.06
38673802,MORTGAGE,611-87-4076,209-453-2953,Fresno,CA,2019-09-21,719473,847,869,100726.22000000002
38673803,PERSONAL LOAN,609-87-0927,215-354-4675,Lamartine,PA,2018-09-28,154458,741,749,47881.98
38673804,CREDIT CARD,706-18-4225,252-384-1215,Conway,NC,2021-08-24,90324,785,779,26193.96
38673805,CREDIT CARD,483-41-3695,702-797-4444,Silver City,NV,2019-10-25,35846,894,920,15772.24
38673806,PERSONAL LOAN,693-16-2014,802-307-8391,Vernon,VT,2021-05-09,75481,825,855,16605.82
38673807,CREDIT CARD,214-91-9678,203-844-1900,New Haven,CT,2018-04-18,26659,684,732,1866.13
38673808,MORTGAGE,073-02-8820,303-340-3783,Manitou Springs,CO,2019-05-18,574518,854,881,206826.47999999998
38673809,CREDIT CARD,471-57-7525,239-834-0484,Jacksonville Beach,FL,2020-03-27,55043,795,840,17063.329999999998
38673810,MORTGAGE,220-89-8727,215-305-6224,North Versailles,PA,2019-06-05,652275,771,796,32613.75
38673811,CREDIT CARD,516-49-0231,262-831-5670,Francis Creek,WI,2018-09-13,85856,692,729,13736.960000000001
38673812,MORTGAGE,370-37-4929,405-472-9079,North Miami,OK,2021-05-20,560305,855,892,11206.1
38673813,MORTGAGE,074-02-2788,304-678-9963,Slanesville,WV,2019-08-06,407084,878,889,69204.28
38673814,PERSONAL LOAN,050-02-8636,231-517-5243,Clarkston,MI,2021-06-05,116303,757,788,10467.27
38673815,MORTGAGE,042-15-2353,339-942-7900,Waltham,MA,2021-08-24,943806,688,688,245389.56
38673816,MORTGAGE,395-33-0486,216-264-2142,South Point,OH,2019-03-18,326321,784,802,26105.68
38673817,CREDIT CARD,593-99-0893,215-568-1049,Waterford,PA,2020-02-12,68182,680,678,1363.64
38673818,MORTGAGE,524-99-4441,316-440-6735,Wilmore,KS,2021-02-08,388391,798,832,50490.83
38673819,MORTGAGE,402-73-0348,802-428-3006,Shoreham,VT,2018-07-15,436342,784,827,52361.04
38673820,MORTGAGE,347-08-4206,406-624-0511,Capitol,MT,2020-02-24,905138,856,849,334901.06
38673821,MORTGAGE,002-11-0283,405-370-4402,Calera,OK,2020-07-19,956667,662,691,28700.01
38673822,CREDIT CARD,754-07-2123,319-495-4489,Manson,IA,2019-01-03,47446,797,809,2846.7599999999998
38673823,MORTGAGE,264-99-8047,231-668-7898,Reading,MI,2020-05-23,178742,895,907,89371.0
